hospitalDrugCode,name,genericName,dosageForm,strength,unit,currentStock,packageSize,pricePerBox,expiryDate,category,notes
HERB204,ยาพอกเข่า,ยาพอกเข่า,APP,,,50,1,40.00,2026-7-22,MODERN,
1680017,Smofkabiven(Refer)1600Kcal,Smofkabiven(Refer)1600Kcal,BAG,1600,Kcal,28,1,1358.90,2026-9-30,MODERN,1600Kcal
204,เพชรสังฆาต,เพชรสังฆาต,CAP,,,31,100,65.00,2028-4-17,MODERN,
206,บำรุงโลหิต,บำรุงโลหิต,CAP,,,1,100,86.00,2027-11-28,MODERN,
218,เถาวัลย์เปรียง,เถาวัลย์เปรียง,CAP,500,mg,47,100,76.00,2028-5-2,MODERN,500 mg
226,ยาธาตุบรรจบ,ยาธาตุบรรจบ,CAP,,,10,100,80.00,2027-1-2,MODERN,
229,ตรีผลา,ตรีผลา,CAP,500,mg,30,100,78.00,2027-11-28,MODERN,500 mg
230,ปราบชมพูทวีป,ปราบชมพูทวีป,CAP,500,mg,5,100,78.00,2027-11-22,MODERN,500 mg
CAP179,Azithromycin,Azithromycin,CAP,250,mg,45,60,450.00,2028-3-20,MODERN,250 mg
CAP180,Gabapentin,Gabapentin,CAP,300,mg,31,100,203.30,2026-11-14,MODERN,300 mg
CAP181,Calciferol(Vit.D2),Calciferol(Vit.D2),CAP,20000,IU,2,500,1070.00,2028-2-14,MODERN,20000IU
CAP182,Progesterone,Progesterone,CAP,200,mg,20,15,298.53,2027-8-31,MODERN,200 mg
CAP183,Calcitriol(Vit.D3),Calcitriol(Vit.D3),CAP,0.25,mcg,20,100,300.00,2027-3-20,MODERN,0.25mcg
CAP188,Magnesium oxide,Magnesium oxide,CAP,140,mg,1,500,802.50,2028-10-20,MODERN,140 mg
CAP190,Hydroxyurea(Hydroxycarbamide),Hydroxyurea(Hydroxycarbamide),CAP,500,mg,2,100,1423.10,2026-4-30,MODERN,500 mg
HER015,สหัศธารา,สหัศธารา,CAP,500,mg,18,100,78.00,2028-6-27,MODERN,500 mg
HER016,ห้าราก,ห้าราก,CAP,,,2,100,78.00,2026-10-2,MODERN,
HER120,ประสะไพล,ประสะไพล,CAP,,,9,100,72.00,2028-3-12,MODERN,
Herb017,ธรณีสัณธะฆาต,ธรณีสัณธะฆาต,CAP,500,mg,2,100,78.00,2027-8-29,MODERN,500 mg
Herb019,ยาบำรุงน้ำนม ปลูกธาตุไฟ,ยาบำรุงน้ำนม ปลูกธาตุไฟ,CAP,100,gm,7,30,48.00,2027-11-28,MODERN,100 gm
TAB007,AMOXYcillin,AMOXYcillin,CAP,500,MG,14,500,535.00,2028-3-3,MODERN,500 MG
TAB023,MEFENAMIC acid,MEFENAMIC acid,CAP,250,mg,3,100,62.06,2025-12-28,MODERN,250 mg
TAB034,ClorazePATe,ClorazePATe,CAP,5,mg,22,500,321.00,2027-6-20,MODERN,5 mg
TAB038,CEPHALEXIN,CEPHALEXIN,CAP,500,mg,3,100,216.75,2028-3-14,MODERN,500 mg
TAB039,CEFIXIME,CEFIXIME,CAP,100,MG,33,100,1016.50,2027-3-27,MODERN,100 MG
TAB047,DOXYCYCLINE,DOXYCYCLINE,CAP,100,MG,13,500,320.00,2027-8-3,MODERN,100 MG
TAB060,Omeprazole,Omeprazole,CAP,20,mg,124,500,195.00,2026-7-31,MODERN,20 mg
TAB064,SENNA,SENNA,CAP,500,mg,15,100,65.00,2027-12-5,MODERN,500 mg
TAB078,ITRACONAZOLE,ITRACONAZOLE,CAP,100,MG,11,100,320.00,2027-10-16,MODERN,100 MG
TAB108,TRANEXAMIC,TRANEXAMIC,CAP,250,mg,1,500,1100.00,2027-6-6,MODERN,250 mg
TAB120,LITHIUM carbonate,LITHIUM carbonate,CAP,300,mg,5,500,909.50,2028-6-6,MODERN,300 mg
TAB139,TRAMADOL,TRAMADOL,CAP,50,mg,26,500,260.00,2028-3-21,MODERN,50 mg
TAB160,PHENYTOIN SODIUM,PHENYTOIN SODIUM,CAP,100,mg,30,100,329.56,2026-6-19,MODERN,100 mg
TAB164,DICLOXAcillin SODIUM,DICLOXAcillin SODIUM,CAP,250,mg,5,500,430.00,2028-6-4,MODERN,250 mg
TAB181,CLINDAMYCIN,CLINDAMYCIN,CAP,300,mg,13,100,260.00,2027-2-28,MODERN,300 mg
TAB201,มะระขี้นก,มะระขี้นก,CAP,500,mg,40,70,52.50,2028-2-19,MODERN,500 mg
TAB202,ใบฝรั่ง,ใบฝรั่ง,CAP,10,'S,125,10,8.00,2026-7-22,MODERN,10'S
TAB207,ฟ้าทะลายโจร,ฟ้าทะลายโจร,CAP,500,mg,162.6666667,60,36.00,2028-1-6,MODERN,500 mg
TAB222,Sodium Chloride,Sodium Chloride,CAP,300,mg,1,250,110.00,2027-2-18,MODERN,300 mg
TAB267,gabaPENTIN,gabaPENTIN,CAP,100,mg,247,100,94.16,2028-3-24,MODERN,100 mg
TAB282,Fenofibrate,Fenofibrate,CAP,200,miCRonized,4,300,585.00,2028-4-8,MODERN,200 miCRonized
TAB287,oseltamivir,oseltamivir,CAP,75,mg,5,250,6250.00,2029-5-21,MODERN,75 mg
TAB305,Rifampicin 450 mg,Rifampicin 450 mg,CAP,450,mg,3,100,670.00,2028-2-29,MODERN,450 mg
TAB310,Rifampicin,Rifampicin,CAP,300,mg,5,100,460.00,2028-1-27,MODERN,300 mg
TAB321,Cilostazol(Pletaal),Cilostazol(Pletaal),CAP,100,mg,3,30,930.90,2026-8-31,MODERN,100 mg
EXT010,CLOtrimazole,CLOtrimazole,CR,1,% 15 G,506,1,14.00,2028-1-22,MODERN,1 % 15 G
EXT013,ZINC OXIDE,ZINC OXIDE,CR,7.5,%,6,1,32.50,1930-3-17,MODERN,7.50%
EXT014,BETAmethasone,BETAmethasone,CR,0.1,% 5 G,265,1,8.56,2028-4-21,MODERN,0.1% 5 G
EXT016,triamcinolone 0.02,triamcinolone 0.02,CR,5,G,550,1,6.30,2029-4-28,MODERN,5 G
EXT017,TRIAMcinolone CR,TRIAMcinolone CR,CR,0.1,% 5 G,322,1,5.35,2028-4-8,MODERN,0.1% 5 G
EXT032,salicylic 3 % CR,salicylic 3 % CR,CR,50,g,5,1,95.00,2026-6-30,MODERN,50 g
EXT035,silver sulfadiazine,silver sulfadiazine,CR,25,G,61,1,23.00,2027-10-31,MODERN,25 G
EXT043,Silver sulfadiazine CReam,Silver sulfadiazine CReam,CR,450,g,1,1,290.00,2027-5-31,MODERN,450 g
EXT046,Clotrimazole1%(กระปุก),Clotrimazole1%(กระปุก),CR,450,g,10,1,247.00,2027-1-31,MODERN,450 g
HER126,ครีมไพล,ครีมไพล,CR,25,g,75,1,30.00,2026-7-31,MODERN,25 g
HER444,ครีมพญายอ,ครีมพญายอ,CR,5,g,14,1,14.00,2028-4-22,MODERN,5 g
SOL017,CHLORHEXIDINE OB CR(100g),CHLORHEXIDINE OB CR(100g),CR,1,%(20%w/v),19,1,250.00,2026-7-19,MODERN,1 %(20%w/v)
SYR003,haloperidol,haloperidol,DOP,2,mg/ml,20,1,30.00,2028-2-4,MODERN,2mg/ml
SYR021,simethicon drop 15 ml,simethicon drop 15 ml,DOP,40,mg/0.6ml,15,1,18.00,1930-3-3,MODERN,40 mg/0.6ml
ENE001,Enema Na Ph,Enema Na Ph,ENE,133,ml,560,1,27.82,2028-2-8,MODERN,133 ml
GEL001,Triamcinolone in ORAL,Triamcinolone in ORAL,GEL,0.1,%,236,1,3.00,2029-3-31,MODERN,0.1 %
GEL002,LUBRICATING,LUBRICATING,GEL,50,g,131,1,20.00,2028-6-25,MODERN,50 g
GEL003,Lubricating GELซอง(POSE-GEL),Lubricating GELซอง(POSE-GEL),GEL,5,g,280,1,4.25,2028-5-28,MODERN,5 g
HAN002,Tiotropium(Spiriva),Tiotropium(Spiriva),HAN,0.018,mg,35,30,499.69,2026-8-31,MODERN,0.018mg
IMP01,Etonogestrelยาคุมฝัง,Etonogestrelยาคุมฝัง,IMP,68,mg,10,1,1829.70,2029-5-31,MODERN,68 mg
1670065,Alteplase(Actilyse),Alteplase(Actilyse),INJ,50,ml,2,1,20865.00,2026-8-31,MODERN,50 ml
INJ004,OCTREOTIDE,OCTREOTIDE,INJ,500,mcg/5ml,40,1,642.00,2027-4-9,MODERN,500 mcg/5ml
INJ001,Vero Rabies Vaccine,Vero Rabies Vaccine,INJ,,,300,1,250.00,2027-6-11,MODERN,
INJ002,Dextrose,Dextrose,INJ,50,% 50 ml,164,1,15.00,2027-2-27,MODERN,50% 50 ml
INJ003,methylergometrine,methylergometrine,INJ,0.2,mg/ml,94,1,17.00,2027-9-10,MODERN,0.2mg/ml
INJ004,OXYtocin,OXYtocin,INJ,10,IU/ML,40,1,11.60,2028-4-1,MODERN,10 IU/ML
INJ005,SULPROSTONE,SULPROSTONE,INJ,500,mcg,3,3,2110.04,2026-2-8,MODERN,500 mcg
INJ006,medroxyprogesterone,medroxyprogesterone,INJ,150,mg/3ml,120,1,9.00,2028-2-22,MODERN,150mg/3ml
INJ007,KCL,KCL,INJ,20,mEq/10 ml,4,50,350.00,2026-9-30,MODERN,20 mEq/10 ml
INJ008,water for INJ,water for INJ,INJ,10,ml,21,100,250.00,2028-3-19,MODERN,10 ml
INJ009,Vit K1,Vit K1,INJ,1,mg,75,1,10.00,2026-9-10,MODERN,1 mg
INJ010,VIT PHYTOMENADIONE,VIT PHYTOMENADIONE,INJ,10,MG,100,1,18.00,2026-4-30,MODERN,10 MG
INJ011,VIT B COMPLEX,VIT B COMPLEX,INJ,,,140,1,4.00,2027-3-9,MODERN,
INJ013,magnesium,magnesium,INJ,50,% 2 ML,500,1,9.00,2029-2-28,MODERN,50 % 2 ML
INJ014,Diclofenac,Diclofenac,INJ,75,mg/3ml,49,1,4.20,2027-10-17,MODERN,75mg/3ml
INJ019,ERIG,ERIG,INJ,1000,IU/5ML,50,1,400.00,2026-11-30,MODERN,1000IU/5ML
INJ022,ACETYLCYSTEINE(3ml),ACETYLCYSTEINE(3ml),INJ,100,mg/ml,150,1,20.33,2029-6-30,MODERN,100 mg/ml
INJ024,metoclopramide,metoclopramide,INJ,10,mg,340,1,6.40,2029-5-26,MODERN,10 mg
INJ025,Omeprazole,Omeprazole,INJ,40,mg,590,1,12.20,2026-9-30,MODERN,40 mg
INJ026,Digoxin,Digoxin,INJ,0.25,mg/ml,10,1,30.00,2027-6-30,MODERN,0.25mg/ml
INJ027,furosemide,furosemide,INJ,20,mg/2 ml,397,1,6.42,2028-1-9,MODERN,20 mg/2 ml
